review_id,error_related,sentiment,size,app_id,Total_error_related
1837,0,1,0.4,com.dtd.vtk,0
1564,0,0,0.4,com.dtd.hoangcung,0
1562,0,0,0.4,com.dtd.hoangcung,0
1561,0,0,0.4,com.dtd.hoangcung,0
1451,0,1,0.5,com.concreterose.android.unique_rabbit,2
1450,0,0,0.5,com.concreterose.android.unique_rabbit,2
1449,0,0,0.5,com.concreterose.android.unique_rabbit,2
1448,0,0,0.5,com.concreterose.android.unique_rabbit,2
1447,0,1,0.5,com.concreterose.android.unique_rabbit,2
1446,0,1,0.5,com.concreterose.android.unique_rabbit,2
1445,0,1,0.5,com.concreterose.android.unique_rabbit,2
1444,1,0,0.5,com.concreterose.android.unique_rabbit,2
1443,0,0,0.5,com.concreterose.android.unique_rabbit,2
1442,0,0,0.5,com.concreterose.android.unique_rabbit,2
1441,0,1,0.5,com.concreterose.android.unique_rabbit,2
1440,0,1,0.5,com.concreterose.android.unique_rabbit,2
1439,0,1,0.5,com.concreterose.android.unique_rabbit,2
1438,0,1,0.5,com.concreterose.android.unique_rabbit,2
1437,0,1,0.5,com.concreterose.android.unique_rabbit,2
1436,0,1,0.5,com.concreterose.android.unique_rabbit,2
1435,0,1,0.5,com.concreterose.android.unique_rabbit,2
1434,1,0,0.5,com.concreterose.android.unique_rabbit,2
1433,0,0,0.5,com.concreterose.android.unique_rabbit,2
1432,0,1,0.5,com.concreterose.android.unique_rabbit,2
1431,0,1,0.5,com.concreterose.android.unique_rabbit,2
1430,0,0,0.5,com.concreterose.android.unique_rabbit,2
1429,0,1,0.5,com.concreterose.android.unique_rabbit,2
1428,0,1,0.5,com.concreterose.android.unique_rabbit,2
1427,0,1,0.5,com.concreterose.android.unique_rabbit,2
1426,0,1,0.5,com.concreterose.android.unique_rabbit,2
1425,0,1,0.5,com.concreterose.android.unique_rabbit,2
1424,0,1,0.5,com.concreterose.android.unique_rabbit,2
1423,0,1,0.5,com.concreterose.android.unique_rabbit,2
1422,0,1,0.5,com.concreterose.android.unique_rabbit,2
1421,0,1,0.5,com.concreterose.android.unique_rabbit,2
1420,0,1,0.5,com.concreterose.android.unique_rabbit,2
1419,0,0,0.5,com.concreterose.android.unique_rabbit,2
3371,0,0,1.2,com.ezturner.theswagbutton,0
3370,0,0,1.2,com.ezturner.theswagbutton,0
2117,0,1,1.3,com.fms.colem,2
2116,0,0,1.3,com.fms.colem,2
2115,1,0,1.3,com.fms.colem,2
2114,0,0,1.3,com.fms.colem,2
2113,0,0,1.3,com.fms.colem,2
2112,0,0,1.3,com.fms.colem,2
2111,0,1,1.3,com.fms.colem,2
2110,0,0,1.3,com.fms.colem,2
2109,0,1,1.3,com.fms.colem,2
2108,0,0,1.3,com.fms.colem,2
2107,0,1,1.3,com.fms.colem,2
2106,0,1,1.3,com.fms.colem,2
2105,0,1,1.3,com.fms.colem,2
2104,0,0,1.3,com.fms.colem,2
2103,1,1,1.3,com.fms.colem,2
2102,0,0,1.3,com.fms.colem,2
2101,0,0,1.3,com.fms.colem,2
2100,0,1,1.3,com.fms.colem,2
2099,0,1,1.3,com.fms.colem,2
2098,0,0,1.3,com.fms.colem,2
2097,0,0,1.3,com.fms.colem,2
2096,0,1,1.3,com.fms.colem,2
2094,0,1,1.3,com.fms.colem,2
2093,0,1,1.3,com.fms.colem,2
2092,0,1,1.3,com.fms.colem,2
2091,0,0,1.3,com.fms.colem,2
2090,0,1,1.3,com.fms.colem,2
2089,0,1,1.3,com.fms.colem,2
2088,0,1,1.3,com.fms.colem,2
2087,0,1,1.3,com.fms.colem,2
2086,0,1,1.3,com.fms.colem,2
2183,0,1,1.4,com.dbd.ghostmicecatgame,3
2182,0,1,1.4,com.dbd.ghostmicecatgame,3
2181,0,1,1.4,com.dbd.ghostmicecatgame,3
2180,0,1,1.4,com.dbd.ghostmicecatgame,3
2179,0,0,1.4,com.dbd.ghostmicecatgame,3
2178,1,0,1.4,com.dbd.ghostmicecatgame,3
2177,1,0,1.4,com.dbd.ghostmicecatgame,3
2176,0,0,1.4,com.dbd.ghostmicecatgame,3
2175,0,1,1.4,com.dbd.ghostmicecatgame,3
2174,0,1,1.4,com.dbd.ghostmicecatgame,3
2173,0,1,1.4,com.dbd.ghostmicecatgame,3
2172,0,0,1.4,com.dbd.ghostmicecatgame,3
2171,1,0,1.4,com.dbd.ghostmicecatgame,3
3163,0,0,1.5,com.arabgame.elkaperyater,0
2417,0,1,1.6,com.fms.fmsx.deluxe,2
2416,0,0,1.6,com.fms.fmsx.deluxe,2
2415,0,0,1.6,com.fms.fmsx.deluxe,2
2414,0,1,1.6,com.fms.fmsx.deluxe,2
2413,0,1,1.6,com.fms.fmsx.deluxe,2
2412,0,1,1.6,com.fms.fmsx.deluxe,2
2411,0,1,1.6,com.fms.fmsx.deluxe,2
2409,0,1,1.6,com.fms.fmsx.deluxe,2
2408,0,1,1.6,com.fms.fmsx.deluxe,2
2407,0,0,1.6,com.fms.fmsx.deluxe,2
2406,0,1,1.6,com.fms.fmsx.deluxe,2
2405,0,1,1.6,com.fms.fmsx.deluxe,2
2404,1,0,1.6,com.fms.fmsx.deluxe,2
2403,0,1,1.6,com.fms.fmsx.deluxe,2
2402,1,0,1.6,com.fms.fmsx.deluxe,2
2401,0,0,1.6,com.fms.fmsx.deluxe,2
3465,0,1,2,com.x.balonpatlatma,0
3462,0,0,2,com.x.balonpatlatma,0
3461,0,1,2,com.x.balonpatlatma,0
3118,0,0,2.4,com.nattipon.coloringbookadventuret,0
1824,0,1,2.5,com.iocolab.jumpcarpro,0
1821,0,1,2.5,com.iocolab.jumpcarpro,0
1820,0,0,2.5,com.iocolab.jumpcarpro,0
1819,0,1,2.5,com.iocolab.jumpcarpro,0
1818,0,0,2.5,com.iocolab.jumpcarpro,0
1817,0,1,2.5,com.iocolab.jumpcarpro,0
1816,0,1,2.5,com.iocolab.jumpcarpro,0
1815,0,1,2.5,com.iocolab.jumpcarpro,0
1814,0,0,2.5,com.iocolab.jumpcarpro,0
1813,0,0,2.5,com.iocolab.jumpcarpro,0
1812,0,0,2.5,com.iocolab.jumpcarpro,0
1811,0,1,2.5,com.iocolab.jumpcarpro,0
1810,0,1,2.5,com.iocolab.jumpcarpro,0
1809,0,0,2.5,com.iocolab.jumpcarpro,0
1808,0,1,2.5,com.iocolab.jumpcarpro,0
1807,0,1,2.5,com.iocolab.jumpcarpro,0
1806,0,0,2.5,com.iocolab.jumpcarpro,0
1805,0,1,2.5,com.iocolab.jumpcarpro,0
1804,0,0,2.5,com.iocolab.jumpcarpro,0
1803,0,1,2.5,com.iocolab.jumpcarpro,0
1802,0,1,2.5,com.iocolab.jumpcarpro,0
1801,0,1,2.5,com.iocolab.jumpcarpro,0
1800,0,1,2.5,com.iocolab.jumpcarpro,0
1799,0,0,2.5,com.iocolab.jumpcarpro,0
1798,0,0,2.5,com.iocolab.jumpcarpro,0
1797,0,1,2.5,com.iocolab.jumpcarpro,0
1796,0,0,2.5,com.iocolab.jumpcarpro,0
1795,0,0,2.5,com.iocolab.jumpcarpro,0
1794,0,0,2.5,com.iocolab.jumpcarpro,0
1793,0,0,2.5,com.iocolab.jumpcarpro,0
3364,0,0,2.7,com.dinoranger.runjump,0
2818,0,0,2.9,com.minikorn.coloringkidsgame,0
2817,0,1,2.9,com.minikorn.coloringkidsgame,0
1110,0,0,3.1,com.virtualdoctor.stomachsurgery,1
1109,0,1,3.1,com.virtualdoctor.stomachsurgery,1
1108,0,0,3.1,com.virtualdoctor.stomachsurgery,1
1107,0,0,3.1,com.virtualdoctor.stomachsurgery,1
